stop_lat,stop_code,stop_lon,stop_url,stop_id,stop_desc,stop_name,location_type,zone_id
37.798392,17862,-122.402343,,7862,,Broadway & Sansome St,0,
37.728895,17860,-122.370154,,7860,,Donahue St & Innes Ave,0,
37.73992,14149,-122.41997,,4149,,Cortland Ave & Elsie St,0,
37.736991,17869,-122.505413,,7869,,47th Ave & Cutler Ave,0,
37.737752,17868,-122.428248,,7868,,Miguel ST & Laidley ST,0,
37.718722,14811,-122.443554,,4811,,Geneva Ave & Cayuga Ave,0,
37.718927,14810,-122.443554,,4810,,Geneva Ave & Cayuga Ave,0,
37.73004,14817,-122.37711,,4817,,Kiska Rd & Reardon Rd,0,
37.720069,14816,-122.44526,,4816,,Geneva Ave & Delano Ave,0,
37.792878,14819,-122.404364,,4819,,Kearny St & California St,0,
37.791004,14818,-122.403976,,4818,,Kearny St & Bush St,0,
37.74151,13691,-122.41067,,3691,,Bernal Heights Blvd & Powhattan Ave,0,
37.744481,15829,-122.450678,,5829,,100 O'Shaughnessy Blvd,0,
37.73327,17626,-122.413919,,7626,,Alemany Blvd & Flosom St,0,
37.73605,14695,-122.41352,,4695,,Folsom St & Ogden St,0,
37.71672,16371,-122.39993,,6371,,San Bruno Ave & Wilde Ave,0,
37.72531,16372,-122.40271,,6372,,SAN BRUNO AVE & WOOLSEY ST,0,
37.72637,16373,-122.40301,,6373,,San Bruno Ave & Wayland St,0,
37.733202,16374,-122.465798,,6374,,Santa Clara Ave & Monterey Blvd,0,
37.734861,16375,-122.466154,,6375,,Santa Clara Ave & Saint Francis Blvd,0,
37.80308,16376,-122.44183,,6376,,Scott St & North Point St,0,
37.71202,13692,-122.40068,,3692,,Blanken Ave & Tunnel Ave,0,
37.749001,13519,-122.417818,,3519,,26th St & Mission St,0,
37.805022,14529,-122.403314,,4529,,The Embarcadero & Sansome St,0,
37.752162,13513,-122.398293,,3513,,25th St & Wisconsin St,0,
37.75224,13512,-122.39831,,3512,,25th St & Wisconsin St,0,
37.751407,13511,-122.40668,,3511,,25th St & Potrero Ave,0,
37.749673,13510,-122.431659,,3510,,25th St & Noe St,0,
37.750753,13517,-122.400024,,3517,,26th St & De Haro St,0,
37.75086,13516,-122.40015,,3516,,26th St & De Haro St,0,
37.751377,17263,-122.431991,,7263,,24th St & Noe St,0,
37.74815,13514,-122.43363,,3514,,26th St & Castro St,0,
37.758499,16204,-122.40207,,6204,,Rhode Island St & Southern Heights Ave,0,
37.750727,16200,-122.401342,,6200,,Rhode Island St & 26th St,0,
37.768742,16201,-122.403038,,6201,,Rhode Island St & Alameda St,0,
37.768573,16202,-122.402843,,6202,,Rhode Island St & Alameda St,0,
37.763264,16203,-122.402525,,6203,,Rhode Island St & Mariposa St,0,
37.744368,16208,-122.410465,,6208,,Ripley St & Alabama St,0,
37.74428,16209,-122.41051,,6209,,Ripley St & Alabama St,0,
37.77057,15675,-122.424971,,5675,,Market St & Guerrero St,0,
37.804287,16806,-122.424996,,6806,,Van Ness Ave & Bay St,0,
37.7832,16804,-122.42073,,6804,,Van Ness Ave & Eddy St,0,
37.7825,16805,-122.42089,,6805,,Van Ness Ave & Eddy St,0,
37.79245,16803,-122.4226,,6803,,Van Ness Ave & Clay St,0,
37.80258,16800,-122.42464,,6800,,Van Ness Ave & Chestnut St,0,
37.802431,16801,-122.424905,,6801,,Van Ness Ave & Chestnut St,0,
37.74524,13392,-122.47567,,3392,,19th Ave & Santiago St,0,
37.742775,15182,-122.396936,,5182,,Jerrold Ave & Selby St,0,
37.773536,13206,-122.408376,,3206,,8th St & Harrison St,0,
37.741704,15180,-122.394691,,5180,,Jerrold Ave & Rankin St,0,
37.772536,13204,-122.407127,,3204,,8th St & Bryant St,0,
37.771554,13203,-122.405901,,3203,,8th St & Brannan St,0,
37.78869,15187,-122.41361,,5187,,Jones St & Sutter St,0,
37.773639,13201,-122.465808,,3201,,8th Ave & Fulton St,0,
37.78686,15185,-122.41325,,5185,,Jones St & Geary Blvd,0,
37.762299,15189,-122.462001,,5189,,Judah St & 5th Ave,0,
37.778498,13209,-122.414597,,3209,,8th St & Market St,0,
37.77724,13208,-122.413027,,3208,,8th St & Mission St,0,
37.70874,16485,-122.46932,,6485,,St Charles Ave & Belle Ave,0,
37.784627,17145,-122.387977,,7145,,The Embarcadero & Brannan St,0,
37.804795,15059,-122.4201,,5059,,Hyde St & Bay St,0,
37.79969,16762,-122.415665,,6762,,Union St & Jones St,0,
37.791339,17676,-122.392408,,7676,,Hward St&Spear,0,
37.776133,17677,-122.411606,,7677,,8th St&Howard,0,
37.716419,17671,-122.441012,,7671,,Geneva Ave & Mission St,0,
37.805803,15458,-122.420226,,5458,,North Point St & Hyde St,0,
37.805633,15459,-122.420467,,5459,,North Point St & Hyde St,0,
37.761762,13348,-122.421732,,3348,,18th St & Valencia St,0,
37.761663,13349,-122.421423,,3349,,18th St & Valencia St,0,
37.71749,17078,-122.47744,,7078,,Juan Bautista Cir & Font Blvd,0,
37.762828,13342,-122.393471,,3342,,18th St & Pennsylvania Ave,0,
37.762732,13343,-122.39322,,3343,,18th St & Pennsylvania Ave,0,
37.761094,13340,-122.432688,,3340,,18th St & Noe St,0,
37.76096,13341,-122.432905,,3341,,18th St & Noe St,0,
37.762701,13346,-122.395422,,3346,,18th St & Texas St,0,
37.762621,13347,-122.39516,,3347,,18th St & Texas St,0,
37.761228,13344,-122.430464,,3344,,18th St & Sanchez St,0,
37.767509,17073,-122.428927,,7073,,Church St & Market St,0,
37.719198,14976,-122.390012,,4976,,Hawes St & Gilman Ave,0,
37.780982,14259,-122.467644,,4259,,Geary Blvd & 9th Ave,0,
37.780902,14258,-122.464377,,4258,,Geary Blvd & 6th Ave,0,
37.72338,16972,-122.40961,,6972,,Woolsey St & Bowdoin St,0,
37.72973,16970,-122.39525,,6970,,Williams Ave & Reddy St,0,
37.72349,16971,-122.40941,,6971,,Woolsey St & Bowdoin St,0,
37.719746,14253,-122.467937,,4253,,Garfield St & Vernon St,0,
37.781277,14255,-122.460938,,4255,,Geary Blvd & 3rd Ave,0,
37.719613,14254,-122.465452,,4254,,Garfield St & Victoria St,0,
37.781134,14257,-122.464159,,4257,,Geary Blvd & 6th Ave,0,
37.781045,14256,-122.461156,,4256,,Geary Blvd & 3rd Ave,0,
37.78464,15533,-122.40393,,5533,,Mission St & 4th St,0,
37.78597,15532,-122.40249,,5532,,Mission St & 3rd St,0,
37.78651,15531,-122.40157,,5531,,Mission St & 3rd St,0,
37.78787,15530,-122.39985,,5530,,Mission St & 2nd St,0,
37.78119,15537,-122.40831,,5537,,Mission St & 6th St,0,
37.782725,15536,-122.40664,,5536,,Mission St & 5th St,0,
37.782716,15535,-122.406525,,5535,,Mission St & 5th St,0,
37.78436,15534,-122.40452,,5534,,Mission St & 4th St,0,
37.77897,15539,-122.41135,,5539,,Mission St & 7th St,0,
37.78075,15538,-122.4091,,5538,,Mission St & 6th St,0,
37.8005,14119,-122.410356,,4119,,Columbus Ave & Union St,0,
37.791315,17188,-122.399676,,7188,,BUSH ST & Battery St,0,
37.80283,17181,-122.413978,,7181,,COLUMBUS AVE & CHESTNUT ST,0,
37.797849,17185,-122.407342,,7185,,BROADWAY & GRANT AVE,0,
37.765437,17186,-122.477209,,7186,,Lincoln Way & 19TH AVE,0,
37.734388,17187,-122.379358,,7187,,MIDDLE POINT RD & HARE ST,0,
37.732915,15103,-122.377229,,5103,,Innes Ave & Hunters Point Blvd,0,
37.710981,16573,-122.413024,,6573,,Sunnydale Ave & Garrison Ave,0,
37.710007,16570,-122.409521,,6570,,Sunnydale Ave & Cora St,0,
37.73446,14388,-122.433839,,4388,,Diamond St & Chenery St,0,
37.70986,16576,-122.40851,,6576,,Sunnydale Ave & Rutland St,0,
37.712419,16577,-122.418177,,6577,,Sunnydale Ave & Santos St,0,
37.713704,16574,-122.422116,,6574,,SUNNYDALE AVE/MCLAREN SCHOOL,0,
37.71022,15628,-122.44845,,5628,,Mission St & Whittier St,0,
37.738262,14383,-122.434674,,4383,,Diamond St & Arbor St,0,
37.738681,14382,-122.434468,,4382,,Diamond St & Arbor St,0,
37.712231,16578,-122.417536,,6578,,Sunnydale Ave & Santos St,0,
37.743249,14380,-122.435659,,4380,,Diamond St & 29th St,0,
37.733452,14387,-122.434217,,4387,,Diamond St & Bosworth St,0,
37.733506,14386,-122.434148,,4386,,Diamond St & Bosworth St,0,
37.747068,14385,-122.43599,,4385,,Diamond St & Cesar Chavez St,0,
37.747104,14384,-122.435841,,4384,,Diamond St & Cesar Chavez St,0,
37.776904,17696,-122.471918,,7696,,Balboa St & Park Presidio Blvd,0,
37.821831,17691,-122.529689,,7691,,Field Rd & Light House,0,
37.830373,17692,-122.524399,,7692,,Field Rd & Bodsworth Rd,0,
37.7274,14596,-122.41457,,4596,,Felton St & University St,0,
37.784253,13834,-122.475501,,3834,,California St & 16th Ave,0,
37.784241,13835,-122.478446,,3835,,California St & 19th Ave,0,
37.784109,13836,-122.47871,,3836,,California St & 19th Ave,0,
